Num	Source	Distance	LR	ppmm	LR_target
5	flange	10	0	31.0	0
5	flange	10	0	23.0	0
5	flange	10	0	61.0	0
5	flange	10	0	27.0	0
5	flange	10	0	38.0	0
5	flange	10	0	37.0	0
5	flange	10	0	1.0	0
5	flange	10	0	17.0	0
5	flange	10	0	4.0	0
5	flange	10	0	18.0	0
5	flange	10	0	27.0	0
5	flange	10	0	8.0	0
5	flange	10	0	38.0	0
5	flange	10	0	41.0	0
5	flange	10	0	19.0	0
5	flange	10	0	13.0	0
5	flange	10	0	79.0	0
5	flange	10	0	96.0	0
5	flange	10	0	36.0	0
5	flange	10	0	33.0	0
5	flange	10	0	9.0	0
5	flange	10	0	41.0	0
5	flange	10	0	18.0	0
5	flange	10	0	40.0	0
5	flange	10	0	42.0	0
5	flange	10	0	2.0	0
5	flange	10	0	44.0	0
5	flange	10	0	75.0	0
5	flange	10	0	40.0	0
5	flange	10	0	26.0	0
5	flange	10	0	61.0	0
5	flange	10	0	59.0	0
5	flange	10	0	7.0	0
5	flange	10	0	32.0	0
5	flange	10	0	3.0	0
5	flange	10	0	40.0	0
5	flange	10	0	35.0	0
5	flange	10	0	14.0	0
5	flange	10	0	7.0	0
5	flange	10	0	26.0	0
5	flange	10	0	61.0	0
5	flange	10	0	49.0	0
5	flange	10	0	12.0	0
5	flange	10	0	15.0	0
5	flange	10	0	68.0	0
5	flange	10	0	31.0	0
5	flange	10	0	21.0	0
5	flange	10	0	32.0	0
5	flange	10	0	2.0	0
5	flange	10	0	0.0	0
5	flange	10	0	10.0	0
5	flange	10	0	12.0	0
5	flange	10	0	49.0	0
5	flange	10	0	52.0	0
5	flange	10	0	7.0	0
5	flange	10	0	23.0	0
5	flange	10	0	23.0	0
5	flange	10	0	23.0	0
5	flange	10	0	19.0	0
5	flange	10	0	26.0	0
5	flange	10	0	2.0	0
5	flange	10	0	39.0	0
5	flange	10	0	76.0	0
5	flange	10	0	4.0	0
5	flange	10	0	2.0	0
5	flange	10	0	14.0	0
5	flange	10	0	16.0	0
5	flange	10	0	4.0	0
5	flange	10	0	18.0	0
5	flange	10	0	10.0	0
5	flange	10	0	1.0	0
5	flange	10	0	14.0	0
5	flange	10	0	52.0	0
5	flange	10	0	19.0	0
5	flange	10	0	26.0	0
5	flange	10	0	6.0	0
5	flange	10	0	16.0	0
5	flange	10	0	11.0	0
5	flange	10	0	3.0	0
5	flange	10	0	5.0	0
5	flange	10	0	21.0	0
5	flange	10	0	1.0	0
5	flange	10	0	7.0	0
5	flange	10	0	22.0	0
5	flange	10	0	29.0	0
5	flange	10	0	15.0	0
5	flange	10	0	126.0	0
5	flange	10	0	93.0	0
5	flange	10	0	21.0	0
5	flange	10	0	9.0	0
5	flange	10	0	30.0	0
5	flange	10	0	31.0	0
5	flange	10	0	21.0	0
5	flange	10	0	51.0	0
5	flange	10	0	26.0	0
5	flange	10	0	24.0	0
6	flange	12	0	9.0	0
6	flange	12	0	13.0	0
6	flange	12	0	2.0	0
6	flange	12	0	12.0	0
6	flange	12	0	2.0	0
6	flange	12	0	6.0	0
6	flange	12	0	14.0	0
6	flange	12	0	12.0	0
6	flange	12	0	3.0	0
6	flange	12	0	2.0	0
6	flange	12	0	18.0	0
6	flange	12	0	38.0	0
6	flange	12	0	8.0	0
6	flange	12	0	17.0	0
6	flange	12	0	13.0	0
6	flange	12	0	16.0	0
6	flange	12	0	10.0	0
6	flange	12	0	29.0	0
6	flange	12	0	23.0	0
6	flange	12	0	3.0	0
6	flange	12	0	24.0	0
6	flange	12	0	15.0	0
6	flange	12	0	10.0	0
6	flange	12	0	3.0	0
6	flange	12	0	8.0	0
6	flange	12	0	16.0	0
6	flange	12	0	24.0	0
6	flange	12	0	12.0	0
6	flange	12	0	10.0	0
6	flange	12	0	3.0	0
6	flange	12	0	15.0	0
6	flange	12	0	66.0	0
